Variable,Variable_Label,Values,Value_Labels
PRICANDSAT_R_DT_W139,"Donald Trump // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",2,Somewhat satisfied
PRICANDSAT_R_DT_W139,"Donald Trump // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",3,Somewhat dissatisfied
PRICANDSAT_R_DT_W139,"Donald Trump // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",4,Very dissatisfied
PRICANDSAT_R_DT_W139,"Donald Trump // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",5,Have not heard enough to say
PRICANDSAT_R_DT_W139,"Donald Trump // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",99,Refused
PRICANDSAT_R_RDS_W139,"Ron DeSantis // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
PRICANDSAT_R_RDS_W139,"Ron DeSantis // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",2,Somewhat satisfied
PRICANDSAT_R_RDS_W139,"Ron DeSantis // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",3,Somewhat dissatisfied
PRICANDSAT_R_RDS_W139,"Ron DeSantis // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",4,Very dissatisfied
PRICANDSAT_R_RDS_W139,"Ron DeSantis // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",5,Have not heard enough to say
PRICANDSAT_R_RDS_W139,"Ron DeSantis // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",99,Refused
PRICANDSAT_R_CC_W139,"Chris Christie // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
PRICANDSAT_R_CC_W139,"Chris Christie // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",2,Somewhat satisfied
PRICANDSAT_R_CC_W139,"Chris Christie // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",3,Somewhat dissatisfied
PRICANDSAT_R_CC_W139,"Chris Christie // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",4,Very dissatisfied
PRICANDSAT_R_CC_W139,"Chris Christie // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",5,Have not heard enough to say
PRICANDSAT_R_CC_W139,"Chris Christie // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",99,Refused
PRICANDSAT_R_VR_W139,"Vivek Ramaswamy // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
PRICANDSAT_R_VR_W139,"Vivek Ramaswamy // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",2,Somewhat satisfied
PRICANDSAT_R_VR_W139,"Vivek Ramaswamy // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",3,Somewhat dissatisfied
PRICANDSAT_R_VR_W139,"Vivek Ramaswamy // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",4,Very dissatisfied
PRICANDSAT_R_VR_W139,"Vivek Ramaswamy // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",5,Have not heard enough to say
PRICANDSAT_R_VR_W139,"Vivek Ramaswamy // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",99,Refused
PRICANDSAT_R_NH_W139,"Nikki Haley // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",1,Very satisfied
PRICANDSAT_R_NH_W139,"Nikki Haley // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",2,Somewhat satisfied
PRICANDSAT_R_NH_W139,"Nikki Haley // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",3,Somewhat dissatisfied
PRICANDSAT_R_NH_W139,"Nikki Haley // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",4,Very dissatisfied
PRICANDSAT_R_NH_W139,"Nikki Haley // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",5,Have not heard enough to say
PRICANDSAT_R_NH_W139,"Nikki Haley // Regardless of who your first choice is, how would you feel if each of the following became the Republican nominee in 2024?",99,Refused
REPDEALFGHT_W139,"Which is more important to you in a Republican presidential candidate? Someone who, if elected president, will focus on…",1,"Finding common ground with Democrats on policies, even if it means giving up some things Republicans want"
REPDEALFGHT_W139,"Which is more important to you in a Republican presidential candidate? Someone who, if elected president, will focus on…",2,"Pushing hard for policies Republicans want, even if it makes it much harder to get some things done"
REPDEALFGHT_W139,"Which is more important to you in a Republican presidential candidate? Someone who, if elected president, will focus on…",99,Refused
PRMRYSYT_W139,"Overall, how good a job do you think next year’s caucuses and primaries will do at selecting the best Republican candidate for the general election?",1,Very good job
PRMRYSYT_W139,"Overall, how good a job do you think next year’s caucuses and primaries will do at selecting the best Republican candidate for the general election?",2,Somewhat good job
PRMRYSYT_W139,"Overall, how good a job do you think next year’s caucuses and primaries will do at selecting the best Republican candidate for the general election?",3,Somewhat bad job
PRMRYSYT_W139,"Overall, how good a job do you think next year’s caucuses and primaries will do at selecting the best Republican candidate for the general election?",4,Very bad job
PRMRYSYT_W139,"Overall, how good a job do you think next year’s caucuses and primaries will do at selecting the best Republican candidate for the general election?",99,Refused
REPPRI_FCS_W139,"So far, would you say the campaign for the Republican nomination has been…",1,Focused on the right issues
REPPRI_FCS_W139,"So far, would you say the campaign for the Republican nomination has been…",2,Not focused on the right issues
REPPRI_FCS_W139,"So far, would you say the campaign for the Republican nomination has been…",99,Refused
REPPRIMINT_W139,"So far, would you say the campaign for the Republican nomination has been…",1,Interesting
REPPRIMINT_W139,"So far, would you say the campaign for the Republican nomination has been…",2,Dull
REPPRIMINT_W139,"So far, would you say the campaign for the Republican nomination has been…",99,Refused
REPPRIMCOMP_W139,"From what you’ve read or heard, do you think the competition for the Republican nomination in 2024 will be…",1,A close race
REPPRIMCOMP_W139,"From what you’ve read or heard, do you think the competition for the Republican nomination in 2024 will be…",2,Not a close race
REPPRIMCOMP_W139,"From what you’ve read or heard, do you think the competition for the Republican nomination in 2024 will be…",99,Refused
UKRFOL_W139,How closely have you been following news about Russia’s invasion of Ukraine?,1,Extremely closely
UKRFOL_W139,How closely have you been following news about Russia’s invasion of Ukraine?,2,Very closely
UKRFOL_W139,How closely have you been following news about Russia’s invasion of Ukraine?,3,Somewhat closely
UKRFOL_W139,How closely have you been following news about Russia’s invasion of Ukraine?,4,Not too closely
UKRFOL_W139,How closely have you been following news about Russia’s invasion of Ukraine?,5,Not at all closely
UKRFOL_W139,How closely have you been following news about Russia’s invasion of Ukraine?,99,Refused
JB_RUSUKR_APP_W139,Do you approve or disapprove of the Biden administration’s response to Russia’s invasion of Ukraine?,1,Strongly approve
JB_RUSUKR_APP_W139,Do you approve or disapprove of the Biden administration’s response to Russia’s invasion of Ukraine?,2,Somewhat approve
JB_RUSUKR_APP_W139,Do you approve or disapprove of the Biden administration’s response to Russia’s invasion of Ukraine?,3,Somewhat disapprove
JB_RUSUKR_APP_W139,Do you approve or disapprove of the Biden administration’s response to Russia’s invasion of Ukraine?,4,Strongly disapprove
JB_RUSUKR_APP_W139,Do you approve or disapprove of the Biden administration’s response to Russia’s invasion of Ukraine?,5,Not sure
JB_RUSUKR_APP_W139,Do you approve or disapprove of the Biden administration’s response to Russia’s invasion of Ukraine?,99,Refused
UKR_SPRT_W139,"When it comes to Russia’s invasion of Ukraine, do you think the U.S. is providing…",1,Too much support to Ukraine
UKR_SPRT_W139,"When it comes to Russia’s invasion of Ukraine, do you think the U.S. is providing…",2,Not enough support to Ukraine
UKR_SPRT_W139,"When it comes to Russia’s invasion of Ukraine, do you think the U.S. is providing…",3,About the right amount of support to Ukraine
UKR_SPRT_W139,"When it comes to Russia’s invasion of Ukraine, do you think the U.S. is providing…",4,Not sure
UKR_SPRT_W139,"When it comes to Russia’s invasion of Ukraine, do you think the U.S. is providing…",99,Refused
RU_UKN_THRT2_W139,How much of a threat to U.S. interests is Russia’s invasion of Ukraine?,1,A major threat
RU_UKN_THRT2_W139,How much of a threat to U.S. interests is Russia’s invasion of Ukraine?,2,A minor threat
RU_UKN_THRT2_W139,How much of a threat to U.S. interests is Russia’s invasion of Ukraine?,3,Not a threat
RU_UKN_THRT2_W139,How much of a threat to U.S. interests is Russia’s invasion of Ukraine?,4,Not sure
RU_UKN_THRT2_W139,How much of a threat to U.S. interests is Russia’s invasion of Ukraine?,99,Refused
PARTYTRAITH2H_FED_W139,Can effectively manage the federal government // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
PARTYTRAITH2H_FED_W139,Can effectively manage the federal government // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,2,The Democratic Party
PARTYTRAITH2H_FED_W139,Can effectively manage the federal government // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,3,No difference between the parties
PARTYTRAITH2H_FED_W139,Can effectively manage the federal government // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,99,Refused
PARTYTRAITH2H_WORK_W139,Is willing to work with political leaders from the other party // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
PARTYTRAITH2H_WORK_W139,Is willing to work with political leaders from the other party // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,2,The Democratic Party
PARTYTRAITH2H_WORK_W139,Is willing to work with political leaders from the other party // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,3,No difference between the parties
PARTYTRAITH2H_WORK_W139,Is willing to work with political leaders from the other party // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,99,Refused
PARTYTRAITH2H_PLM_W139,Is concerned with the needs of people like me // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
PARTYTRAITH2H_PLM_W139,Is concerned with the needs of people like me // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,2,The Democratic Party
PARTYTRAITH2H_PLM_W139,Is concerned with the needs of people like me // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,3,No difference between the parties
PARTYTRAITH2H_PLM_W139,Is concerned with the needs of people like me // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,99,Refused
PARTYTRAITH2H_SEL_W139,Selects good candidates for office // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
PARTYTRAITH2H_SEL_W139,Selects good candidates for office // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,2,The Democratic Party
PARTYTRAITH2H_SEL_W139,Selects good candidates for office // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,3,No difference between the parties
PARTYTRAITH2H_SEL_W139,Selects good candidates for office // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,99,Refused
PARTYTRAITH2H_HON_W139,Governs in an honest and ethical way // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
PARTYTRAITH2H_HON_W139,Governs in an honest and ethical way // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,2,The Democratic Party
PARTYTRAITH2H_HON_W139,Governs in an honest and ethical way // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,3,No difference between the parties
PARTYTRAITH2H_HON_W139,Governs in an honest and ethical way // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,99,Refused
PARTYTRAITH2H_UNI_W139,Tries to unite the country // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
PARTYTRAITH2H_UNI_W139,Tries to unite the country // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,2,The Democratic Party
PARTYTRAITH2H_UNI_W139,Tries to unite the country // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,3,No difference between the parties
PARTYTRAITH2H_UNI_W139,Tries to unite the country // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,99,Refused
PARTYTRAITH2H_LEAD_W139,Has effective leaders in Congress // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
PARTYTRAITH2H_LEAD_W139,Has effective leaders in Congress // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,2,The Democratic Party
PARTYTRAITH2H_LEAD_W139,Has effective leaders in Congress // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,3,No difference between the parties
PARTYTRAITH2H_LEAD_W139,Has effective leaders in Congress // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,99,Refused
PARTYTRAITH2H_MID_W139,Is concerned with the needs of middle-class people // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,1,The Republican Party
PARTYTRAITH2H_MID_W139,Is concerned with the needs of middle-class people // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,2,The Democratic Party
PARTYTRAITH2H_MID_W139,Is concerned with the needs of middle-class people // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,3,No difference between the parties
PARTYTRAITH2H_MID_W139,Is concerned with the needs of middle-class people // Thinking about the Republican and Democratic parties… Which party do you think is better described by each of the following phrases?,99,Refused
ISGZ_FOL_W139,How closely have you been following news about the Israel-Hamas war?,1,Extremely closely
ISGZ_FOL_W139,How closely have you been following news about the Israel-Hamas war?,2,Very closely
ISGZ_FOL_W139,How closely have you been following news about the Israel-Hamas war?,3,Somewhat closely
ISGZ_FOL_W139,How closely have you been following news about the Israel-Hamas war?,4,Not too closely
ISGZ_FOL_W139,How closely have you been following news about the Israel-Hamas war?,5,Not at all closely
ISGZ_FOL_W139,How closely have you been following news about the Israel-Hamas war?,99,Refused
ISGZ_RESPNSBL_ISRGOV_W139,Israeli government // How much responsibility do each of the following have for Israel and Hamas currently being at war?,1,A lot
ISGZ_RESPNSBL_ISRGOV_W139,Israeli government // How much responsibility do each of the following have for Israel and Hamas currently being at war?,2,A little
ISGZ_RESPNSBL_ISRGOV_W139,Israeli government // How much responsibility do each of the following have for Israel and Hamas currently being at war?,3,nan
ISGZ_RESPNSBL_ISRGOV_W139,Israeli government // How much responsibility do each of the following have for Israel and Hamas currently being at war?,5,Not sure
ISGZ_RESPNSBL_ISRGOV_W139,Israeli government // How much responsibility do each of the following have for Israel and Hamas currently being at war?,99,Refused
ISGZ_RESPNSBL_HMS_W139,"Hamas, the militant Palestinian group // How much responsibility do each of the following have for Israel and Hamas currently being at war?",1,A lot
ISGZ_RESPNSBL_HMS_W139,"Hamas, the militant Palestinian group // How much responsibility do each of the following have for Israel and Hamas currently being at war?",2,A little
ISGZ_RESPNSBL_HMS_W139,"Hamas, the militant Palestinian group // How much responsibility do each of the following have for Israel and Hamas currently being at war?",3,nan
ISGZ_RESPNSBL_HMS_W139,"Hamas, the militant Palestinian group // How much responsibility do each of the following have for Israel and Hamas currently being at war?",5,Not sure
ISGZ_RESPNSBL_HMS_W139,"Hamas, the militant Palestinian group // How much responsibility do each of the following have for Israel and Hamas currently being at war?",99,Refused
