,Variable,Variable_Label,Values,Value_Labels
32,SMUSE2_a_W144,,6,Every few weeks or less often
33,SMUSE2_a_W144,,99,Refused
34,SMUSE2_c_W144,X (formerly Twitter) // About how often do you visit or use…,1,Almost constantly
35,SMUSE2_c_W144,,2,Several times a day
36,SMUSE2_c_W144,,3,About once a day
37,SMUSE2_c_W144,,4,A few times a week
38,SMUSE2_c_W144,,5,About once a week
39,SMUSE2_c_W144,,6,Every few weeks or less often
40,SMUSE2_c_W144,,99,Refused
41,SMUSE2_d_W144,Instagram // About how often do you visit or use…,1,Almost constantly
42,SMUSE2_d_W144,,2,Several times a day
43,SMUSE2_d_W144,,3,About once a day
44,SMUSE2_d_W144,,4,A few times a week
45,SMUSE2_d_W144,,5,About once a week
46,SMUSE2_d_W144,,6,Every few weeks or less often
47,SMUSE2_d_W144,,99,Refused
48,SMUSE2_i_W144,TikTok // About how often do you visit or use…,1,Almost constantly
49,SMUSE2_i_W144,,2,Several times a day
50,SMUSE2_i_W144,,3,About once a day
51,SMUSE2_i_W144,,4,A few times a week
52,SMUSE2_i_W144,,5,About once a week
53,SMUSE2_i_W144,,6,Every few weeks or less often
54,SMUSE2_i_W144,,99,Refused
55,SOCIALNEWS2_a_W144,Facebook // Do you regularly get news or news headlines on any of the following social media sites or apps? By news we mean information about events and issues that involve more than just your friends or family.,1,"Yes, regularly get news on this"
56,SOCIALNEWS2_a_W144,,2,"No, don’t regularly get news on this"
57,SOCIALNEWS2_a_W144,,99,Refused
58,SOCIALNEWS2_c_W144,X (formerly Twitter) // Do you regularly get news or news headlines on any of the following social media sites or apps? By news we mean information about events and issues that involve more than just your friends or family.,1,"Yes, regularly get news on this"
59,SOCIALNEWS2_c_W144,,2,"No, don’t regularly get news on this"
60,SOCIALNEWS2_c_W144,,99,Refused
61,SOCIALNEWS2_d_W144,Instagram // Do you regularly get news or news headlines on any of the following social media sites or apps? By news we mean information about events and issues that involve more than just your friends or family.,1,"Yes, regularly get news on this"
62,SOCIALNEWS2_d_W144,,2,"No, don’t regularly get news on this"
63,SOCIALNEWS2_d_W144,,99,Refused
64,SOCIALNEWS2_i_W144,TikTok // Do you regularly get news or news headlines on any of the following social media sites or apps? By news we mean information about events and issues that involve more than just your friends or family.,1,"Yes, regularly get news on this"
65,SOCIALNEWS2_i_W144,,2,"No, don’t regularly get news on this"
66,SOCIALNEWS2_i_W144,,99,Refused
67,DOV_USE4_W144,Data only variable for using all four platforms,99,Refused
68,DOV_ASKFB_W144,Data only variable for asking Facebook (FB) module,99,Refused
69,DOV_ASKIG_W144,Data only variable for asking Instagram (IG) module,99,Refused
70,FBWHY_a_W144,To get news // How much is each of the following a reason you use Facebook?,1,Major reason
71,FBWHY_a_W144,,2,Minor reason
72,FBWHY_a_W144,,3,Not a reason
73,FBWHY_a_W144,,99,Refused
74,FBWHY_b_W144,To keep up with politics or political issues // How much is each of the following a reason you use Facebook?,1,Major reason
75,FBWHY_b_W144,,2,Minor reason
76,FBWHY_b_W144,,3,Not a reason
77,FBWHY_b_W144,,99,Refused
78,FBWHY_c_W144,To keep up with sports or pop culture // How much is each of the following a reason you use Facebook?,1,Major reason
79,FBWHY_c_W144,,2,Minor reason
80,FBWHY_c_W144,,3,Not a reason
81,FBWHY_c_W144,,99,Refused
82,FBWHY_d_W144,Because it’s entertaining // How much is each of the following a reason you use Facebook?,1,Major reason
83,FBWHY_d_W144,,2,Minor reason
84,FBWHY_d_W144,,3,Not a reason
85,FBWHY_d_W144,,99,Refused
86,FBWHY_e_W144,To keep up with friends and family // How much is each of the following a reason you use Facebook?,1,Major reason
87,FBWHY_e_W144,,2,Minor reason
88,FBWHY_e_W144,,3,Not a reason
89,FBWHY_e_W144,,99,Refused
90,FBWHY_f_W144,To connect with others who share your interests // How much is each of the following a reason you use Facebook?,1,Major reason
91,FBWHY_f_W144,,2,Minor reason
92,FBWHY_f_W144,,3,Not a reason
93,FBWHY_f_W144,,99,Refused
94,FBWHY_g_W144,To look at product reviews or recommendations // How much is each of the following a reason you use Facebook?,1,Major reason
95,FBWHY_g_W144,,2,Minor reason
96,FBWHY_g_W144,,3,Not a reason
97,FBWHY_g_W144,,99,Refused
98,FBDEMOCRACY_W144,"Overall, do you think Facebook...",1,Is mostly good for American democracy
99,FBDEMOCRACY_W144,,2,Is mostly bad for American democracy
100,FBDEMOCRACY_W144,,3,Has no impact on American democracy
101,FBDEMOCRACY_W144,,99,Refused
102,FBSOURCE_a_W144,News outlets or journalists // Do you ever get news from each of the following on Facebook?,1,"Yes, I get news on Facebook from them"
103,FBSOURCE_a_W144,,2,"No, I don’t get news on Facebook from them"
104,FBSOURCE_a_W144,,99,Refused
105,FBSOURCE_b_W144,"Friends, family, and acquaintances // Do you ever get news from each of the following on Facebook?",1,"Yes, I get news on Facebook from them"
106,FBSOURCE_b_W144,,2,"No, I don’t get news on Facebook from them"
107,FBSOURCE_b_W144,,99,Refused
108,FBSOURCE_c_W144,Influencers or celebrities // Do you ever get news from each of the following on Facebook?,1,"Yes, I get news on Facebook from them"
109,FBSOURCE_c_W144,,2,"No, I don’t get news on Facebook from them"
110,FBSOURCE_c_W144,,99,Refused
111,FBSOURCE_d_W144,Advocacy or non-profit organizations // Do you ever get news from each of the following on Facebook?,1,"Yes, I get news on Facebook from them"
112,FBSOURCE_d_W144,,2,"No, I don’t get news on Facebook from them"
113,FBSOURCE_d_W144,,99,Refused
114,FBSOURCE_e_W144,Other people you don’t know personally // Do you ever get news from each of the following on Facebook?,1,"Yes, I get news on Facebook from them"
115,FBSOURCE_e_W144,,2,"No, I don’t get news on Facebook from them"
116,FBSOURCE_e_W144,,99,Refused
117,FBTYPE_a_W144,Funny posts that reference current events // Do you ever see each of the following on Facebook?,1,"Yes, I see this on Facebook"
118,FBTYPE_a_W144,,2,"No, I don’t see this on Facebook"
119,FBTYPE_a_W144,,99,Refused
120,FBTYPE_b_W144,"News articles, whether posted, reposted, linked, or screenshotted // Do you ever see each of the following on Facebook?",1,"Yes, I see this on Facebook"
121,FBTYPE_b_W144,,2,"No, I don’t see this on Facebook"
122,FBTYPE_b_W144,,99,Refused
123,FBTYPE_c_W144,People expressing opinions about current events // Do you ever see each of the following on Facebook?,1,"Yes, I see this on Facebook"
124,FBTYPE_c_W144,,2,"No, I don’t see this on Facebook"
125,FBTYPE_c_W144,,99,Refused
126,FBTYPE_d_W144,Information about a breaking news event as it’s happening // Do you ever see each of the following on Facebook?,1,"Yes, I see this on Facebook"
127,FBTYPE_d_W144,,2,"No, I don’t see this on Facebook"
128,FBTYPE_d_W144,,99,Refused
129,FBACC_W144,How often do you see news on Facebook that seems inaccurate?,1,Extremely often
130,FBACC_W144,,2,Fairly often
131,FBACC_W144,,3,Sometimes
132,FBACC_W144,,4,Rarely
133,FBACC_W144,,5,Never
134,FBACC_W144,,99,Refused
135,FBINFLUENCE_W144,"How much, if at all, do you think Facebook influences which news stories you see on the platform?",1,A lot
136,FBINFLUENCE_W144,,2,Some
137,FBINFLUENCE_W144,,3,Not much
138,FBINFLUENCE_W144,,4,Not at all
139,FBINFLUENCE_W144,,99,Refused
140,FBELSE_W144,Would you say the news you get on Facebook is…,1,Mostly news you would have gotten elsewhere if you didn’t use Facebook
141,FBELSE_W144,,2,Mostly news you would not have gotten elsewhere
142,FBELSE_W144,,3,Both about equally
143,FBELSE_W144,,99,Refused
144,FBWORN_W144,How often do you feel worn out by the news you see on Facebook?,1,Extremely often
145,FBWORN_W144,,2,Fairly often
146,FBWORN_W144,,3,Sometimes
147,FBWORN_W144,,4,Rarely
148,FBWORN_W144,,5,Never
149,FBWORN_W144,,99,Refused
150,FBHARASS_W144,How much of a problem is people getting harassed on Facebook?,1,Major problem
151,FBHARASS_W144,,2,Minor problem
152,FBHARASS_W144,,3,Not a problem
153,FBHARASS_W144,,99,Refused
154,FBSHARE_W144,Do you ever post or share on Facebook?,1,"Yes, I do"
155,FBSHARE_W144,,2,"No, I don’t"
156,FBSHARE_W144,,99,Refused
157,FBSHAREPOL_W144,How much of what you post or share on Facebook is about politics or political issues?,1,All or almost all
158,FBSHAREPOL_W144,,2,Most
159,FBSHAREPOL_W144,,3,Some
160,FBSHAREPOL_W144,,4,A little
161,FBSHAREPOL_W144,,5,None at all
162,FBSHAREPOL_W144,,99,Refused
163,FBWHYSP_a_W144,Your views are welcome there // How much is each of the following a reason you post or share about politics or political issues on Facebook?,1,Major reason
164,FBWHYSP_a_W144,,2,Minor reason
165,FBWHYSP_a_W144,,3,Not a reason
166,FBWHYSP_a_W144,,99,Refused
167,FBWHYSP_b_W144,It’s a place you can make a difference // How much is each of the following a reason you post or share about politics or political issues on Facebook?,1,Major reason
168,FBWHYSP_b_W144,,2,Minor reason
169,FBWHYSP_b_W144,,3,Not a reason
170,FBWHYSP_b_W144,,99,Refused
171,FBWHYSP_c_W144,Politics belongs there // How much is each of the following a reason you post or share about politics or political issues on Facebook?,1,Major reason
172,FBWHYSP_c_W144,,2,Minor reason
173,FBWHYSP_c_W144,,3,Not a reason
174,FBWHYSP_c_W144,,99,Refused
175,FBWHYSP_d_W144,You feel it’s something you should do // How much is each of the following a reason you post or share about politics or political issues on Facebook?,1,Major reason
176,FBWHYSP_d_W144,,2,Minor reason
177,FBWHYSP_d_W144,,3,Not a reason
178,FBWHYSP_d_W144,,99,Refused
179,FBWHYNTSP_a_W144,You don’t want to be criticized or harassed there // How much is each of the following a reason you don’t post or share about politics or political issues on Facebook?,1,Major reason
180,FBWHYNTSP_a_W144,,2,Minor reason
181,FBWHYNTSP_a_W144,,3,Not a reason
182,FBWHYNTSP_a_W144,,99,Refused
183,FBWHYNTSP_b_W144,Posting there won’t make a difference // How much is each of the following a reason you don’t post or share about politics or political issues on Facebook?,1,Major reason
184,FBWHYNTSP_b_W144,,2,Minor reason
185,FBWHYNTSP_b_W144,,3,Not a reason
186,FBWHYNTSP_b_W144,,99,Refused
187,FBWHYNTSP_c_W144,Politics doesn’t belong there // How much is each of the following a reason you don’t post or share about politics or political issues on Facebook?,1,Major reason
188,FBWHYNTSP_c_W144,,2,Minor reason
189,FBWHYNTSP_c_W144,,3,Not a reason
190,FBWHYNTSP_c_W144,,99,Refused
191,FBWHYNTSP_d_W144,You don’t care about politics // How much is each of the following a reason you don’t post or share about politics or political issues on Facebook?,1,Major reason
192,FBWHYNTSP_d_W144,,2,Minor reason
193,FBWHYNTSP_d_W144,,3,Not a reason
194,FBWHYNTSP_d_W144,,99,Refused
195,FBSEEPOL_W144,How much of what you see on Facebook is about politics or political issues?,1,All or almost all
196,FBSEEPOL_W144,,2,Most
197,FBSEEPOL_W144,,3,Some
198,FBSEEPOL_W144,,4,A little
199,FBSEEPOL_W144,,5,None at all
200,FBSEEPOL_W144,,99,Refused
201,FBPOLIDEO_W144,"Overall, does what you see about politics or political issues on Facebook lean…",1,Mostly conservative
202,FBPOLIDEO_W144,,2,Mostly liberal
203,FBPOLIDEO_W144,,3,Doesn’t lean either way
204,FBPOLIDEO_W144,,4,Not sure
205,FBPOLIDEO_W144,,99,Refused
206,FBFREEEXP_W144,"On Facebook, do you think people feel free to openly express their political views?",1,Yes
207,FBFREEEXP_W144,,2,No
208,FBFREEEXP_W144,,99,Refused
209,IGWHY_a_W144,To get news // How much is each of the following a reason you use Instagram?,1,Major reason
210,IGWHY_a_W144,,2,Minor reason
211,IGWHY_a_W144,,3,Not a reason
212,IGWHY_a_W144,,99,Refused
213,IGWHY_b_W144,To keep up with politics or political issues // How much is each of the following a reason you use Instagram?,1,Major reason
214,IGWHY_b_W144,,2,Minor reason
215,IGWHY_b_W144,,3,Not a reason
216,IGWHY_b_W144,,99,Refused
217,IGWHY_c_W144,To keep up with sports or pop culture // How much is each of the following a reason you use Instagram?,1,Major reason
218,IGWHY_c_W144,,2,Minor reason
219,IGWHY_c_W144,,3,Not a reason
220,IGWHY_c_W144,,99,Refused
221,IGWHY_d_W144,Because it’s entertaining // How much is each of the following a reason you use Instagram?,1,Major reason
222,IGWHY_d_W144,,2,Minor reason
223,IGWHY_d_W144,,3,Not a reason
224,IGWHY_d_W144,,99,Refused
225,IGWHY_e_W144,To keep up with friends and family // How much is each of the following a reason you use Instagram?,1,Major reason
226,IGWHY_e_W144,,2,Minor reason
227,IGWHY_e_W144,,3,Not a reason
228,IGWHY_e_W144,,99,Refused
229,IGWHY_f_W144,To connect with others who share your interests // How much is each of the following a reason you use Instagram?,1,Major reason
230,IGWHY_f_W144,,2,Minor reason
231,IGWHY_f_W144,,3,Not a reason
232,IGWHY_f_W144,,99,Refused
233,IGWHY_g_W144,To look at product reviews or recommendations // How much is each of the following a reason you use Instagram?,1,Major reason
234,IGWHY_g_W144,,2,Minor reason
235,IGWHY_g_W144,,3,Not a reason
236,IGWHY_g_W144,,99,Refused
237,IGDEMOCRACY_W144,"Overall, do you think Instagram...",1,Is mostly good for American democracy
238,IGDEMOCRACY_W144,,2,Is mostly bad for American democracy
239,IGDEMOCRACY_W144,,3,Has no impact on American democracy
240,IGDEMOCRACY_W144,,99,Refused
241,IGSOURCE_a_W144,News outlets or journalists // Do you ever get news from each of the following on Instagram?,1,"Yes, I get news on Instagram from them"
242,IGSOURCE_a_W144,,2,"No, I don’t get news on Instagram from them"
243,IGSOURCE_a_W144,,99,Refused
244,IGSOURCE_b_W144,"Friends, family, and acquaintances // Do you ever get news from each of the following on Instagram?",1,"Yes, I get news on Instagram from them"
245,IGSOURCE_b_W144,,2,"No, I don’t get news on Instagram from them"
246,IGSOURCE_b_W144,,99,Refused
247,IGSOURCE_c_W144,Influencers or celebrities // Do you ever get news from each of the following on Instagram?,1,"Yes, I get news on Instagram from them"
248,IGSOURCE_c_W144,,2,"No, I don’t get news on Instagram from them"
249,IGSOURCE_c_W144,,99,Refused
250,IGSOURCE_d_W144,Advocacy or non-profit organizations // Do you ever get news from each of the following on Instagram?,1,"Yes, I get news on Instagram from them"
251,IGSOURCE_d_W144,,2,"No, I don’t get news on Instagram from them"
252,IGSOURCE_d_W144,,99,Refused
253,IGSOURCE_e_W144,Other people you don’t know personally // Do you ever get news from each of the following on Instagram?,1,"Yes, I get news on Instagram from them"
254,IGSOURCE_e_W144,,2,"No, I don’t get news on Instagram from them"
255,IGSOURCE_e_W144,,99,Refused
256,IGTYPE_a_W144,Funny posts that reference current events // Do you ever see each of the following on Instagram?,1,"Yes, I see this on Instagram"
257,IGTYPE_a_W144,,2,"No, I don’t see this on Instagram"
258,IGTYPE_a_W144,,99,Refused
259,IGTYPE_b_W144,"News articles, whether posted, reposted, linked, or screenshotted // Do you ever see each of the following on Instagram?",1,"Yes, I see this on Instagram"
260,IGTYPE_b_W144,,2,"No, I don’t see this on Instagram"
261,IGTYPE_b_W144,,99,Refused
262,IGTYPE_c_W144,People expressing opinions about current events // Do you ever see each of the following on Instagram?,1,"Yes, I see this on Instagram"
263,IGTYPE_c_W144,,2,"No, I don’t see this on Instagram"
264,IGTYPE_c_W144,,99,Refused
265,IGTYPE_d_W144,Information about a breaking news event as it’s happening // Do you ever see each of the following on Instagram?,1,"Yes, I see this on Instagram"
266,IGTYPE_d_W144,,2,"No, I don’t see this on Instagram"
267,IGTYPE_d_W144,,99,Refused
268,IGACC_W144,How often do you see news on Instagram that seems inaccurate?,1,Extremely often
269,IGACC_W144,,2,Fairly often
270,IGACC_W144,,3,Sometimes
271,IGACC_W144,,4,Rarely
272,IGACC_W144,,5,Never
273,IGACC_W144,,99,Refused
274,IGINFLUENCE_W144,"How much, if at all, do you think Instagram influences which news stories you see on the platform?",1,A lot
275,IGINFLUENCE_W144,,2,Some
276,IGINFLUENCE_W144,,3,Not much
277,IGINFLUENCE_W144,,4,Not at all
278,IGINFLUENCE_W144,,99,Refused
279,IGELSE_W144,Would you say the news you get on Instagram is…,1,Mostly news you would have gotten elsewhere if you didn’t use Instagram
280,IGELSE_W144,,2,Mostly news you would not have gotten elsewhere
281,IGELSE_W144,,3,Both about equally
282,IGELSE_W144,,99,Refused
283,IGWORN_W144,How often do you feel worn out by the news you see on Instagram?,1,Extremely often
284,IGWORN_W144,,2,Fairly often
285,IGWORN_W144,,3,Sometimes
286,IGWORN_W144,,4,Rarely
287,IGWORN_W144,,5,Never
288,IGWORN_W144,,99,Refused
289,IGHARASS_W144,How much of a problem is people getting harassed on Instagram?,1,Major problem
290,IGHARASS_W144,,2,Minor problem
291,IGHARASS_W144,,3,Not a problem
292,IGHARASS_W144,,99,Refused
293,IGSHARE_W144,Do you ever post or share on Instagram?,1,"Yes, I do"
294,IGSHARE_W144,,2,"No, I don’t"
295,IGSHARE_W144,,99,Refused
296,IGSHAREPOL_W144,How much of what you post or share on Instagram is about politics or political issues?,1,All or almost all
297,IGSHAREPOL_W144,,2,Most
298,IGSHAREPOL_W144,,3,Some
299,IGSHAREPOL_W144,,4,A little
300,IGSHAREPOL_W144,,5,None at all
301,IGSHAREPOL_W144,,99,Refused
302,IGWHYSP_a_W144,Your views are welcome there // How much is each of the following a reason you post or share about politics or political issues on Instagram?,1,Major reason
303,IGWHYSP_a_W144,,2,Minor reason
304,IGWHYSP_a_W144,,3,Not a reason
305,IGWHYSP_a_W144,,99,Refused
306,IGWHYSP_b_W144,It’s a place you can make a difference // How much is each of the following a reason you post or share about politics or political issues on Instagram?,1,Major reason
307,IGWHYSP_b_W144,,2,Minor reason
308,IGWHYSP_b_W144,,3,Not a reason
309,IGWHYSP_b_W144,,99,Refused
310,IGWHYSP_c_W144,Politics belongs there // How much is each of the following a reason you post or share about politics or political issues on Instagram?,1,Major reason
311,IGWHYSP_c_W144,,2,Minor reason
312,IGWHYSP_c_W144,,3,Not a reason
313,IGWHYSP_c_W144,,99,Refused
314,IGWHYSP_d_W144,You feel it’s something you should do // How much is each of the following a reason you post or share about politics or political issues on Instagram?,1,Major reason
315,IGWHYSP_d_W144,,2,Minor reason
316,IGWHYSP_d_W144,,3,Not a reason
317,IGWHYSP_d_W144,,99,Refused
318,IGWHYNTSP_a_W144,You don’t want to be criticized or harassed there // How much is each of the following a reason you don’t post or share about politics or political issues on Instagram?,1,Major reason
319,IGWHYNTSP_a_W144,,2,Minor reason
320,IGWHYNTSP_a_W144,,3,Not a reason
321,IGWHYNTSP_a_W144,,99,Refused
322,IGWHYNTSP_b_W144,Posting there won’t make a difference // How much is each of the following a reason you don’t post or share about politics or political issues on Instagram?,1,Major reason
323,IGWHYNTSP_b_W144,,2,Minor reason
324,IGWHYNTSP_b_W144,,3,Not a reason
325,IGWHYNTSP_b_W144,,99,Refused
326,IGWHYNTSP_c_W144,Politics doesn’t belong there // How much is each of the following a reason you don’t post or share about politics or political issues on Instagram?,1,Major reason
327,IGWHYNTSP_c_W144,,2,Minor reason
328,IGWHYNTSP_c_W144,,3,Not a reason
329,IGWHYNTSP_c_W144,,99,Refused
330,IGWHYNTSP_d_W144,You don’t care about politics // How much is each of the following a reason you don’t post or share about politics or political issues on Instagram?,1,Major reason
331,IGWHYNTSP_d_W144,,2,Minor reason
332,IGWHYNTSP_d_W144,,3,Not a reason
333,IGWHYNTSP_d_W144,,99,Refused
334,IGSEEPOL_W144,How much of what you see on Instagram is about politics or political issues?,1,All or almost all
335,IGSEEPOL_W144,,2,Most
336,IGSEEPOL_W144,,3,Some
337,IGSEEPOL_W144,,4,A little
338,IGSEEPOL_W144,,5,None at all
339,IGSEEPOL_W144,,99,Refused
340,IGPOLIDEO_W144,"Overall, does what you see about politics or political issues on Instagram lean…",1,Mostly conservative
341,IGPOLIDEO_W144,,2,Mostly liberal
342,IGPOLIDEO_W144,,3,Doesn’t lean either way
343,IGPOLIDEO_W144,,4,Not sure
344,IGPOLIDEO_W144,,99,Refused
345,IGFREEEXP_W144,"On Instagram, do you think people feel free to openly express their political views?",1,Yes
346,IGFREEEXP_W144,,2,No
347,IGFREEEXP_W144,,99,Refused
348,XTWHY_a_W144,To get news // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
349,XTWHY_a_W144,,2,Minor reason
350,XTWHY_a_W144,,3,Not a reason
351,XTWHY_a_W144,,99,Refused
352,XTWHY_b_W144,To keep up with politics or political issues // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
353,XTWHY_b_W144,,2,Minor reason
354,XTWHY_b_W144,,3,Not a reason
355,XTWHY_b_W144,,99,Refused
356,XTWHY_c_W144,To keep up with sports or pop culture // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
357,XTWHY_c_W144,,2,Minor reason
358,XTWHY_c_W144,,3,Not a reason
359,XTWHY_c_W144,,99,Refused
360,XTWHY_d_W144,Because it’s entertaining // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
361,XTWHY_d_W144,,2,Minor reason
362,XTWHY_d_W144,,3,Not a reason
363,XTWHY_d_W144,,99,Refused
364,XTWHY_e_W144,To keep up with friends and family // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
365,XTWHY_e_W144,,2,Minor reason
366,XTWHY_e_W144,,3,Not a reason
367,XTWHY_e_W144,,99,Refused
368,XTWHY_f_W144,To connect with others who share your interests // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
369,XTWHY_f_W144,,2,Minor reason
370,XTWHY_f_W144,,3,Not a reason
371,XTWHY_f_W144,,99,Refused
372,XTWHY_g_W144,To look at product reviews or recommendations // How much is each of the following a reason you use X (formerly Twitter)?,1,Major reason
373,XTWHY_g_W144,,2,Minor reason
374,XTWHY_g_W144,,3,Not a reason
375,XTWHY_g_W144,,99,Refused
376,XTDEMOCRACY_W144,"Overall, do you think X (formerly Twitter)...",1,Is mostly good for American democracy
377,XTDEMOCRACY_W144,,2,Is mostly bad for American democracy
378,XTDEMOCRACY_W144,,3,Has no impact on American democracy
379,XTDEMOCRACY_W144,,99,Refused
380,XTSOURCE_a_W144,News outlets or journalists // Do you ever get news from each of the following on X (formerly Twitter)?,1,"Yes, I get news on X (formerly Twitter) from them"
381,XTSOURCE_a_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
382,XTSOURCE_a_W144,,99,Refused
383,XTSOURCE_b_W144,"Friends, family, and acquaintances // Do you ever get news from each of the following on X (formerly Twitter)?",1,"Yes, I get news on X (formerly Twitter) from them"
384,XTSOURCE_b_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
385,XTSOURCE_b_W144,,99,Refused
386,XTSOURCE_c_W144,Influencers or celebrities // Do you ever get news from each of the following on X (formerly Twitter)?,1,"Yes, I get news on X (formerly Twitter) from them"
387,XTSOURCE_c_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
388,XTSOURCE_c_W144,,99,Refused
389,XTSOURCE_d_W144,Advocacy or non-profit organizations // Do you ever get news from each of the following on X (formerly Twitter)?,1,"Yes, I get news on X (formerly Twitter) from them"
390,XTSOURCE_d_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
391,XTSOURCE_d_W144,,99,Refused
392,XTSOURCE_e_W144,Other people you don’t know personally // Do you ever get news from each of the following on X (formerly Twitter)?,1,"Yes, I get news on X (formerly Twitter) from them"
393,XTSOURCE_e_W144,,2,"No, I don’t get news on X (formerly Twitter) from them"
394,XTSOURCE_e_W144,,99,Refused
395,XTTYPE_a_W144,Funny posts that reference current events // Do you ever see each of the following on X (formerly Twitter)?,1,"Yes, I see this on X (formerly Twitter)"
396,XTTYPE_a_W144,,2,"No, I don’t see this on X (formerly Twitter)"
397,XTTYPE_a_W144,,99,Refused
398,XTTYPE_b_W144,"News articles, whether posted, reposted, linked, or screenshotted // Do you ever see each of the following on X (formerly Twitter)?",1,"Yes, I see this on X (formerly Twitter)"
399,XTTYPE_b_W144,,2,"No, I don’t see this on X (formerly Twitter)"
400,XTTYPE_b_W144,,99,Refused
401,XTTYPE_c_W144,People expressing opinions about current events // Do you ever see each of the following on X (formerly Twitter)?,1,"Yes, I see this on X (formerly Twitter)"
402,XTTYPE_c_W144,,2,"No, I don’t see this on X (formerly Twitter)"
403,XTTYPE_c_W144,,99,Refused
404,XTTYPE_d_W144,Information about a breaking news event as it’s happening // Do you ever see each of the following on X (formerly Twitter)?,1,"Yes, I see this on X (formerly Twitter)"
405,XTTYPE_d_W144,,2,"No, I don’t see this on X (formerly Twitter)"
406,XTTYPE_d_W144,,99,Refused
407,XTACC_W144,How often do you see news on X (formerly Twitter) that seems inaccurate?,1,Extremely often
408,XTACC_W144,,2,Fairly often
409,XTACC_W144,,3,Sometimes
410,XTACC_W144,,4,Rarely
411,XTACC_W144,,5,Never
412,XTACC_W144,,99,Refused
413,XTINFLUENCE_W144,"How much, if at all, do you think X (formerly Twitter) influences which news stories you see on the platform?",1,A lot
414,XTINFLUENCE_W144,,2,Some
415,XTINFLUENCE_W144,,3,Not much
416,XTINFLUENCE_W144,,4,Not at all
417,XTINFLUENCE_W144,,99,Refused
418,XTELSE_W144,Would you say the news you get on X (formerly Twitter) is…,1,Mostly news you would have gotten elsewhere if you didn’t use X (formerly Twitter)
419,XTELSE_W144,,2,Mostly news you would not have gotten elsewhere
420,XTELSE_W144,,3,Both about equally
421,XTELSE_W144,,99,Refused
422,XTWORN_W144,How often do you feel worn out by the news you see on X (formerly Twitter)?,1,Extremely often
423,XTWORN_W144,,2,Fairly often
424,XTWORN_W144,,3,Sometimes
425,XTWORN_W144,,4,Rarely
426,XTWORN_W144,,5,Never
427,XTWORN_W144,,99,Refused
428,XTHARASS_W144,How much of a problem is people getting harassed on X (formerly Twitter)?,1,Major problem
429,XTHARASS_W144,,2,Minor problem
430,XTHARASS_W144,,3,Not a problem
431,XTHARASS_W144,,99,Refused
432,XTSHARE_W144,Do you ever post or share on X (formerly Twitter)?,1,"Yes, I do"
433,XTSHARE_W144,,2,"No, I don’t"
434,XTSHARE_W144,,99,Refused
435,XTSHAREPOL_W144,How much of what you post or share on X (formerly Twitter) is about politics or political issues?,1,All or almost all
